SKU,Price API,Price Shopify,Quantity
P27076,15.26,21.26,10
P27077,15.4,21.45,10
P27078,9.47,13.27,9
P27080,21.22,29.48,0
P27082,18.28,25.43,10
P27084,5.82,8.23,0
P27092,9.55,13.38,10
P27134,13.09,18.26,0
P27135,13.09,18.26,3
P27136,10.02,14.03,0
P27139,9.81,13.74,100
P27140,9.47,13.27,0
P27141,9.42,13.20,50
P27142,16.23,22.60,50
P27143,7.81,10.98,0
P27144,5.82,8.23,0
P27145,20.13,27.98,100
P27146,26.77,37.14,10
P27147,10.31,14.43,10
P27148,9.2,12.90,50
P27149,5.75,8.14,10
P27152,4.79,6.81,50
P27153,3.55,5.10,10
P27154,15.58,21.70,0
P27156,11.45,16.00,0
P27161,5.97,8.44,0
P27162,9.32,13.06,100
P27164,18.91,26.30,10
P27165,8.9,12.48,8
P27166,7.48,10.52,10
P27168,14.92,20.79,10
P27181,11.24,15.71,5
P27182,5.31,7.53,10
P27183,33.72,46.73,0
P27184,33.72,46.73,0
P27186,19.65,27.32,9
P27187,6.3,8.89,0
P27189,30.03,41.64,10
P27190,25.41,35.27,10
P27195,4.52,6.44,2
P27196,17.39,24.20,10
P27207,24.5,34.01,100
P27208,13.35,18.62,100
P27209,12.01,16.77,10
P27210,9.58,13.42,10
P27211,8.41,11.81,10
P27212,5.71,8.08,10
P27213,12.01,16.77,10
P27225,13.19,18.40,100
P27245,6.52,9.20,10
P27248,10.64,14.88,0
P27267,4.8,6.82,10
P27273,7.3,10.27,10
P27280,16.92,23.55,10
P27282,11.58,16.18,50
P27283,11.77,16.44,10
P27284,3.67,5.26,10
P27285,7.69,10.81,6
P27292,7.0,9.86,0
P27294,6.33,8.94,10
P27295,14.65,20.42,0
P27296,9.7,13.59,0
P27297,17.54,24.41,0
P27299,11.52,16.10,10
P27301,16.91,23.54,9
P27302,7.34,10.33,7
P27303,15.49,21.58,100
P27304,6.69,9.43,10
P27311,17.93,24.94,100
P27326,6.34,8.95,100
P27327,7.99,11.23,100
P27330,5.81,8.22,10
P27336,4.16,5.94,50
P27338,7.36,10.36,10
P27340,7.58,10.66,0
P27341,5.74,8.12,10
P27345,18.25,25.38,7
P27348,14.92,20.79,10
P27349,6.52,9.20,10
P27356,8.95,12.55,10
P27358,7.76,10.91,100
P27360,11.17,15.61,0
P27361,6.3,8.89,50
